Time, XRP(Price), Cash, Market Value, Shares,
631142, 0.46481248, 253.609907072222, 666.6122642236253, 1434.153111, 
631513, 0.46489144, 253.732896072222, 666.6032273471552, 1433.890087, 
634712, 0.4621558, 253.431065616222, 662.982111302931, 1434.542445, 
645547, 0.4619208, 252.761153466222, 663.3171126122377, 1435.997497, 
645642, 0.46035043, 252.143485596222, 661.6784864177548, 1437.336523, 
645737, 0.455, 251.341518864222, 654.782584365, 1439.082603, 
645908, 0.45736742, 251.467214864222, 658.0637875787702, 1438.807748, 
646854, 0.4602734, 251.589805864222, 662.1222988736072, 1438.541308, 
649602, 0.46326517, 251.719308864222, 666.2965667060049, 1438.2617340000002, 
653610, 0.46382189, 251.719308864222, 667.0972572256817, 1438.261694, 
653671, 0.46382189, 251.719308864222, 667.0972479492439, 1438.261674, 
653916, 0.46707146, 251.849555864222, 671.6403680741497, 1437.982034, 
654037, 0.46707146, 251.725064864222, 671.7654951170692, 1438.249931, 
655909, 0.46449832, 251.605641494222, 668.1839305947977, 1438.506668, 
674855, 0.467, 251.429780474222, 671.960245345, 1438.887035, 
675182, 0.467, 251.429780474222, 671.960226665, 1438.886995, 
676363, 0.467, 251.429780474222, 671.960207985, 1438.886955, 
679168, 0.467, 251.429780474222, 671.9601893050001, 1438.886915, 
762612, 0.44792792, 250.733049002222, 645.1942655546864, 1440.397521, 
762883, 0.45152519, 226.6909992798635, 674.2947875160836, 1493.371361, 
763681, 0.45040213, 226.5666322798635, 672.7422208525463, 1493.647956, 
763777, 0.447, 226.4444192798635, 667.782534573, 1493.9206590000001, 
764073, 0.44, 226.1607701138635, 657.6054364, 1494.55781, 
764168, 0.44312613, 226.2876411138635, 662.1507341136372, 1494.271471, 
765395, 0.4463, 226.4116331138635, 666.769455255, 1493.99385, 
765817, 0.448, 225.8728837658635, 669.85369024, 1495.20913, 
766038, 0.440088, 225.7434965078635, 658.151660771352, 1495.500129, 
766208, 0.44032551, 225.8713285078635, 658.3802849988158, 1495.212678, 
766304, 0.44592583, 225.9971475078635, 666.6279710522554, 1494.930157, 
766424, 0.44865155, 226.1275235078635, 670.5731655500174, 1494.641366, 
766919, 0.45150013, 226.1275235078635, 674.8307529923724, 1494.641326, 
767592, 0.45376244, 229.4773685078635, 674.8895951497597, 1487.319213, 
770152, 0.44731775, 229.3460754458635, 665.4353014706348, 1487.6121090000001, 
784748, 0.44444444, 227.7320748878635, 662.7850618165937, 1491.266404, 
784843, 0.43911105, 224.7908882558635, 657.7668592923246, 1497.9510520000001, 
785566, 0.44368488, 219.3397046498635, 670.1875912018577, 1510.503561, 
785687, 0.43340694, 219.2066250218635, 654.7942656718103, 1510.807062, 
785782, 0.44150819, 219.3400980218635, 666.8996936471729, 1510.503562, 
805982, 0.43350434, 218.4608851058635, 655.6852185236561, 1512.5228470000002, 
813667, 0.42834566, 211.9638247838505, 654.3670693860946, 1527.661257, 
826991, 0.42506227, 211.9638247838505, 649.3511446889827, 1527.661217, 
827086, 0.42612818, 212.0690937838505, 650.8742122718753, 1527.4141510000002, 
827181, 0.42719652, 212.1743797838505, 652.4007110901329, 1527.1676630000002, 
827547, 0.42800058, 212.1743797838505, 653.6286284012214, 1527.167623, 
827761, 0.426931, 212.1743797838505, 651.9951833777731, 1527.1675830000001, 
827811, 0.42984374, 212.1743797838505, 656.4434168866055, 1527.167563, 
828610, 0.42941401, 210.8897115758505, 657.0692382734784, 1530.153239, 
829711, 0.42898461, 209.6679218738505, 657.6315286063927, 1532.995621, 
829957, 0.4274905, 208.5026359538505, 656.5011215494826, 1535.7092650000002, 
830052, 0.42673323, 207.2244140056732, 656.613023876405, 1538.6967260000001, 
830148, 0.4259, 205.9586054343586, 656.5942048337, 1541.662843, 
830268, 0.4263119, 204.6898700283586, 658.4978990838487, 1544.638794, 
830363, 0.4245519, 203.6142030283586, 656.8516200210639, 1547.164481, 
830459, 0.4263119, 203.7008212774801, 659.4878567045623, 1546.9609380000002, 
830629, 0.42604604, 203.7873212774801, 658.9902097819424, 1546.758209, 
830725, 0.42733144, 203.8740063145022, 660.8917149265809, 1546.555327, 
831398, 0.4277, 203.0361559585022, 662.2994373723001, 1548.513999, 
831493, 0.425685, 202.3394683645022, 659.8718822631, 1550.14126, 
831614, 0.42587721, 201.3996304405022, 661.109146282043, 1552.3468520000001, 
831709, 0.425, 200.5847549675522, 660.560648325, 1554.2603490000001, 
831955, 0.4277, 200.6708479675522, 664.6705847873001, 1554.057949, 
832654, 0.42727233, 200.2123501976053, 664.4638220076282, 1555.1295400000001, 
832749, 0.42589871, 199.733735321808, 662.8050825163485, 1556.250505, 
833850, 0.42397462, 199.088143715808, 660.4527382814268, 1557.7647980000002, 
833945, 0.42440082, 199.174043715808, 661.0307449071394, 1557.562365, 
834467, 0.42440082, 198.350735385808, 661.8532192666715, 1559.5003310000002, 
834688, 0.4235916, 198.436539385808, 660.5056727876616, 1559.298326, 
834784, 0.42401439, 198.522354385808, 661.0791008061306, 1559.0959090000001, 
834879, 0.42443784, 198.608180385808, 661.6534612355972, 1558.8936680000002, 
834974, 0.42486488, 198.694018385808, 662.2333204407378, 1558.691602, 
835522, 0.42529191, 198.779867385808, 662.8130667571219, 1558.4897130000002, 
835617, 0.42588136, 198.8657599900581, 663.6458131375614, 1558.2880010000001, 
836391, 0.42588136, 198.3045217540581, 664.2064787080183, 1559.6044840000002, 
838396, 0.4263064, 198.3903197540581, 664.783562208948, 1559.403195, 
838491, 0.42673708, 198.4761297540581, 665.3693431758635, 1559.2020810000001, 
838612, 0.42673708, 198.5619507540581, 665.2835959072195, 1559.001144, 
838858, 0.4279112, 198.6477827540581, 667.0280560119272, 1558.800181, 
839355, 0.42834118, 198.7336257540581, 667.6124530643167, 1558.599743, 
839526, 0.42834118, 198.819479754058, 667.5266726029276, 1558.3994810000002, 
840828, 0.42877188, 198.905344754058, 668.1119973970929, 1558.1991930000002, 
841049, 0.42877188, 198.991220754058, 668.0261945698704, 1557.99908, 
842275, 0.4299957, 199.077107754058, 669.8468465245494, 1557.7989420000001, 
843350, 0.43, 198.991210302058, 669.93934511, 1557.998477, 
843445, 0.42956945, 198.905323872058, 669.3542509779888, 1558.1979840000001, 
843541, 0.42914011, 198.819619872058, 668.7709453818431, 1558.397665, 
843762, 0.43, 198.733926872058, 670.1969340300001, 1558.5975210000001, 
843957, 0.42956984, 198.648073508058, 669.6121568335578, 1558.796951, 
844053, 0.4284444, 198.5622841402279, 667.9433436090421, 1558.9965550000002, 
844424, 0.4284444, 198.4316974882279, 668.0737869341772, 1559.301013, 
844696, 0.4280334, 198.3141979582279, 667.5501709715305, 1559.5749560000002, 
844791, 0.42728282, 198.1442467342279, 666.5490558222557, 1559.9715800000001, 
844962, 0.42728282, 198.2300247342279, 666.4633505796544, 1559.770998, 
845057, 0.42770892, 198.3158137342279, 667.0421671708788, 1559.57039, 
845202, 0.4288267, 198.4016137342279, 668.6994723106252, 1559.369956, 
845549, 0.42925787, 198.5183727342279, 669.2550539776619, 1559.0979240000001, 
845921, 0.4288567, 198.6048784242279, 668.5432395092324, 1558.896572, 
846016, 0.4311, 198.7060394242279, 671.9387105412001, 1558.660892, 
846111, 0.4311, 198.6201994313054, 672.0244619355, 1558.859805, 
846207, 0.4315315, 199.0694854313053, 672.247810994908, 1557.818632, 
846302, 0.4348254, 199.5411634313052, 676.9042934948147, 1556.726662, 
846397, 0.4365, 200.4790658123052, 678.571118865, 1554.57301, 
